level,inputId,facets,palette,uniqueCleanColors,componentsFromClean,smallComponentsLt64,tinyComponentsLt16,medianComponentArea,p10ComponentArea,boundaryTransitions,boundaryTransitionsPerMP
easy,img-1394,35,12,12,35,0,0,18692,3252,24770,7874.17
easy,img-1681,105,12,12,104,12,0,5388.0,44,56886,24111.43
easy,img-1704,80,12,12,80,0,0,6202.0,328,37158,15859.75
easy,img-1998,34,10,10,34,3,0,42160.0,40,25596,8136.75
medium,img-1394,178,15,15,177,4,0,4752,180,86784,27587.89
medium,img-1681,156,16,16,155,6,0,6700,160,69524,29468.11
medium,img-1704,234,15,15,234,3,0,5376.0,428,81794,34911.26
medium,img-1998,67,12,12,67,0,0,28240,812,45110,14340.08
high,img-1394,362,21,21,361,37,0,2816,60,118184,37569.68
high,img-1681,257,21,21,257,31,0,4164,52,78140,33120.05
high,img-1704,354,23,23,354,18,0,1758.0,104,96396,41143.67
high,img-1998,186,16,16,184,2,0,5178.0,204,81040,25761.92
