center_colors,center_dominant_share,center_top3_share,components,durationMs,flower_center_colors,flower_center_dominant_share,flower_center_top3_share,flower_left_petal_colors,flower_left_petal_dominant_share,flower_left_petal_top3_share,horse_hoof_colors,horse_hoof_dominant_share,horse_hoof_top3_share,mean_largest_component_share_per_color,mean_source_lab_variance_per_color,method,outputPath,paletteColors,pixel_weighted_source_lab_variance,small_components_lt64,sourceId,targetColors,tiny_components_lt16
12.0,0.21971638997395834,0.5455678304036459,2161.0,157,,,,,,,,,,0.8362606646754446,6.230099081993103,plain-lab-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1394__easy-v5/plain-lab-kmeans/cleaned.png,12,4.688522416852872,2117.0,img-1394__easy-v5,12,2090.0
12.0,0.21970621744791666,0.5454864501953125,2121.0,426,,,,,,,,,,0.8362687344761595,6.240135610103607,weighted-lab-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1394__easy-v5/weighted-lab-kmeans/cleaned.png,12,4.694304459068159,2077.0,img-1394__easy-v5,12,2047.0
12.0,0.21999613444010416,0.5451812744140625,1926.0,667,,,,,,,,,,0.8386073233552706,6.341591934363048,meanshift-weighted-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1394__easy-v5/meanshift-weighted-kmeans/cleaned.png,12,4.966042765314644,1887.0,img-1394__easy-v5,12,1867.0
11.0,0.21969095865885416,0.545654296875,2091.0,196,,,,,,,,,,0.8364702618765795,6.354319214820862,spatial-labxy-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1394__easy-v5/spatial-labxy-kmeans/cleaned.png,12,4.710078269186852,2049.0,img-1394__easy-v5,12,2029.0
12.0,0.22070821126302084,0.5463002522786459,1722.0,5895,,,,,,,,,,0.8391266329604131,6.281649659077327,region-modes-then-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1394__easy-v5/region-modes-then-kmeans/cleaned.png,12,5.200240602400754,1683.0,img-1394__easy-v5,12,1665.0
,,,2757.0,132,,,,,,,9.0,0.6526570048309178,0.9382608695652173,0.3961320495908942,17.834843322634697,plain-lab-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1681__easy-v5/plain-lab-kmeans/cleaned.png,12,3.2763435228349005,2694.0,img-1681__easy-v5,12,2646.0
,,,30100.0,337,,,,,,,9.0,0.2673429951690821,0.686183574879227,0.358551721904677,8.02790063371261,weighted-lab-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1681__easy-v5/weighted-lab-kmeans/cleaned.png,12,3.9040734986539167,29733.0,img-1681__easy-v5,12,28936.0
,,,2155.0,548,,,,,,,8.0,0.449951690821256,0.8725603864734299,0.45675296450159286,8.499916632970175,meanshift-weighted-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1681__easy-v5/meanshift-weighted-kmeans/cleaned.png,12,4.2063821531064605,2001.0,img-1681__easy-v5,12,1956.0
,,,1839.0,124,,,,,,,7.0,0.678743961352657,0.9484057971014492,0.5891317698841129,8.788033545017242,spatial-labxy-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1681__easy-v5/spatial-labxy-kmeans/cleaned.png,12,4.261043462410372,1783.0,img-1681__easy-v5,12,1771.0
,,,1909.0,4482,,,,,,,9.0,0.43777777777777777,0.8731400966183575,0.49779524021901905,14.235647479693094,region-modes-then-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1681__easy-v5/region-modes-then-kmeans/cleaned.png,12,4.267514120978983,1789.0,img-1681__easy-v5,12,1761.0
12.0,0.24401770104895104,0.5223243553321678,5451.0,101,,,,,,,,,,0.6944142990550973,10.202156578501066,plain-lab-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1704__easy-v5/plain-lab-kmeans/cleaned.png,12,8.297398471929538,5350.0,img-1704__easy-v5,12,5258.0
12.0,0.3333356097027972,0.6092930506993007,6345.0,329,,,,,,,,,,0.7280512666492372,9.839601864417395,weighted-lab-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1704__easy-v5/weighted-lab-kmeans/cleaned.png,12,8.616376077964897,6251.0,img-1704__easy-v5,12,6171.0
12.0,0.3337521853146853,0.6242966018356644,2835.0,774,,,,,,,,,,0.7472724526855675,11.373373856147131,meanshift-weighted-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1704__easy-v5/meanshift-weighted-kmeans/cleaned.png,12,10.001940955020206,2748.0,img-1704__easy-v5,12,2729.0
12.0,0.33352682473776224,0.616053868006993,5464.0,106,,,,,,,,,,0.7458230606220818,10.05937064687411,spatial-labxy-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1704__easy-v5/spatial-labxy-kmeans/cleaned.png,12,8.771920175117993,5377.0,img-1704__easy-v5,12,5352.0
12.0,0.3335677993881119,0.6239961210664335,2693.0,5169,,,,,,,,,,0.7452878392330268,12.387010564406713,region-modes-then-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1704__easy-v5/region-modes-then-kmeans/cleaned.png,12,10.60461943885686,2604.0,img-1704__easy-v5,12,2580.0
,,,1443.0,250,5.0,0.25902691511387166,0.7241821946169773,4.0,0.3320048309178744,0.982632850241546,,,,0.7242055010555285,12.616505205631256,plain-lab-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1998__easy-v5/plain-lab-kmeans/cleaned.png,12,4.014827677946111,1396.0,img-1998__easy-v5,12,1383.0
,,,2063.0,435,5.0,0.25939958592132506,0.7244306418219462,4.0,0.33693236714975844,0.9975362318840579,,,,0.7665537217803283,11.481616055965423,weighted-lab-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1998__easy-v5/weighted-lab-kmeans/cleaned.png,10,6.667157788800978,2027.0,img-1998__easy-v5,12,2014.0
,,,1636.0,644,6.0,0.24544513457556935,0.6613871635610766,4.0,0.3372463768115942,0.9977294685990339,,,,0.7870193575219566,8.607401685281234,meanshift-weighted-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1998__easy-v5/meanshift-weighted-kmeans/cleaned.png,11,6.5386584575976485,1602.0,img-1998__easy-v5,12,1591.0
,,,957.0,295,5.0,0.3816356107660456,0.857743271221532,4.0,0.33118357487922706,0.9828743961352657,,,,0.7783367908281965,15.493582467238108,spatial-labxy-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1998__easy-v5/spatial-labxy-kmeans/cleaned.png,12,8.065313730481648,916.0,img-1998__easy-v5,12,905.0
,,,1330.0,4250,6.0,0.257536231884058,0.6615942028985508,4.0,0.3471256038647343,0.9931884057971014,,,,0.7635537023150746,9.26584741473198,region-modes-then-kmeans,/Users/Basti/Projekte/BA-PaintByNumbers/pipeline-lab/method-comparisons/2026-07-01T06-15-02_flattening-methods-12c/img-1998__easy-v5/region-modes-then-kmeans/cleaned.png,12,5.494446288818684,1288.0,img-1998__easy-v5,12,1249.0
